intent,utterance,type,example
chao_hoi,Có cách nào vào bộ môn Logistics dễ hơn không?,indirect,
hoi_diem_san,Tổ hợp môn nào xét vào chuyên ngành Quản lý xây dựng?,direct,
chao_hoi,Xin chào hệ thống nhỉ,direct,
hoi_chi_tieu,Tổ hợp môn nào xét vào chuyên ngành Công nghệ thông tin?,direct,
hoi_dieu_kien,Tổ hợp môn ra sao xét vào ngành Quản lý xây dựng?,direct,
hoi_thoi_gian_dk,Thời gian đăng ký học bạ là khi nào,direct,
hoi_dieu_kien,Điều kiện Có chứng chỉ IELTS từ 5.5,direct,
hoi_to_hop_mon,Điểm chuẩn chuyên ngành Khoa học Máy tính năm nay là bao nhiêu?,direct,
hoi_chung_chi_nn,Theo bạn thì ngành Công nghệ thông tin có khó đỗ không? nhé,indirect,
hoi_diem_san,Còn Kiến trúc thì điểm sàn thế nào?,followup,
hoi_diem_san,Tổ hợp môn nào xét vào bộ môn Quản lý xây dựng?,direct,
hoi_dieu_kien,Ngành Công nghệ thông tin có yêu cầu gì đặc biệt không?,followup,
hoi_nganh_hoc,Danh sách bộ môn và mã tuyển sinh,direct,
hoi_chung_chi_nn,Có cách nào vào chuyên ngành Quản lý xây dựng dễ hơn không?,indirect,
hoi_phuong_thuc,Trường đại học có xét tuyển bằng thi tn không,direct,
hoi_to_hop_mon,Theo bạn thì bộ môn Công nghệ thông tin có khó đỗ không?,indirect,
hoi_phuong_thuc,Tổ hợp môn nào xét vào bộ môn Công nghệ thông tin?,direct,
hoi_to_hop_mon,Nhà trường đại học có xét tuyển khối D09 không,direct,
hoi_to_hop_mon,Ngành {'LOWER': 'khmt'} có xét A04 không,direct,
hoi_dieu_kien,Thế còn ngành học Kiến trúc thì sao?,followup,
hoi_phuong_thuc,Tổ hợp môn nào xét vào ngành học Khoa học Máy tính?,direct,
hoi_phuong_thuc,Tổ hợp môn nào xét vào bộ môn Khoa học Máy tính?,direct,
fallback,Có cách nào vào chuyên ngành Logistics dễ hơn không?,indirect,
hoi_chung_chi_nn,Ngành Kiến trúc lấy điểm sàn bao nhiêu? ạ,direct,
hoi_diem_san,Thế còn bộ môn Công nghệ thông tin thì sao?,followup,
hoi_chi_tieu,Chỉ tiêu v sat là bao nhiêu nhỉ,direct,
hoi_chung_chi_nn,Trường mình mình có nhận TCF không,direct,
hoi_to_hop_mon,Khối H01 Toán Vẽ Mỹ thuật có bộ môn gì,direct,
hoi_chi_tieu,Điểm chuẩn chuyên ngành Logistics năm nay là bao nhiêu?,direct,
hoi_nganh_hoc,Ngành Khoa học Máy tính lấy điểm sàn bao nhiêu?,direct,
hoi_phuong_thuc,Có thể xét tuyển bằng học bạ không,direct,
hoi_diem_san,Điểm chuẩn {'LOWER': 'khdl'} với khối A03,direct,
hoi_nganh_hoc,Ngành {'LOWER': 'cơ'} {'LOWER': 'khí'} có mấy chuyên bộ môn,direct,
hoi_diem_san,Ngành {'LOWER': 'ktkhí'} xét học bạ thì cần bao nhiêu điểm,direct,
chao_hoi,Có cách nào vào ngành Khoa học Máy tính dễ hơn không?,indirect,
hoi_dieu_kien,Có cách nào vào chuyên ngành Kiến trúc dễ hơn không?,indirect,
chao_hoi,Tổ hợp môn nào xét vào ngành học Công nghệ thông tin?,direct,
chao_hoi,Có cách nào vào bộ môn Công nghệ thông tin dễ hơn không?,indirect,
chao_hoi,Tổ hợp môn nào xét vào ngành học Kiến trúc?,direct,
hoi_chi_tieu,Tổ hợp môn gì xét vào ngành Công nghệ thông tin?,direct,
hoi_to_hop_mon,Ngành {'LOWER': 'attt'} xét tuyển các tổ hợp môn ra sao,direct,
hoi_nganh_hoc,Danh sách chuyên ngành học đào tạo,direct,
hoi_diem_san,Điểm sàn xét tuyển vào trường là bao nhiêu nhỉ,direct,
hoi_chung_chi_nn,Quy đổi TOEIC sang điểm như thế ra sao,direct,
hoi_thoi_gian_dk,Thời gian đăng ký học bạ là khi thế thế nào,direct,
hoi_dieu_kien,Có cách nào vào chuyên ngành Công nghệ thông tin dễ hơn không?,indirect,
hoi_nganh_hoc,Trường có những ngành học học ra sao,direct,
hoi_dieu_kien,Có cách thế nào vào ngành Kiến trúc dễ hơn không?,indirect,
hoi_chi_tieu,Tổ hợp môn nào xét vào ngành học Quản lý xây dựng?,direct,
hoi_diem_san,Thế còn ngành học Công nghệ thông tin thì sao?,followup,
hoi_phuong_thuc,Có cách thế nào vào ngành Logistics dễ hơn không?,indirect,
fallback,Có cách nào vào ngành Khoa học Máy tính dễ hơn không? nhé,indirect,
hoi_nganh_hoc,Các chuyên bộ môn học của {'LOWER': 'ktcn'},direct,
hoi_dieu_kien,Điều kiện xét học bạ,direct,
hoi_thoi_gian_dk,Đăng ký nguyện vọng từ ngày ra sao,direct,
chao_hoi,Có cách thế nào vào ngành Khoa học Máy tính dễ hơn không?,indirect,
hoi_to_hop_mon,Điểm chuẩn ngành Logistics năm nay là bao nhiêu?,direct,
hoi_chung_chi_nn,Quy đổi TOEIC sang điểm như thế nào ạ,direct,
hoi_chung_chi_nn,Có cách thế nào vào ngành Quản lý xây dựng dễ hơn không?,indirect,
hoi_thoi_gian_dk,Khi thế nào đóng đăng ký tsa,direct,
hoi_chung_chi_nn,Ngành Công nghệ thông tin lấy điểm sàn bao nhiêu?,direct,
hoi_thoi_gian_dk,Khi thế thế nào đóng đăng ký tsa,direct,
hoi_to_hop_mon,Ngành {'LOWER': 'ktxd'} {'LOWER': 'kinh'} {'LOWER': 'tế'} học khối thế ra sao,direct,
hoi_chung_chi_nn,Quy đổi TOEIC sang điểm như thế thế nào,direct,
hoi_nganh_hoc,Có cách gì vào ngành Kiến trúc dễ hơn không?,indirect,
hoi_dieu_kien,Điểm chuẩn ngành Công nghệ thông tin năm nay là bao nhiêu?,direct,
fallback,Ngành Khoa học Máy tính xét tuyển theo phương thức nào?,direct,
chao_hoi,Có cách nào vào ngành học Công nghệ thông tin dễ hơn không?,indirect,
hoi_diem_san,Có cách nào vào ngành học Logistics dễ hơn không?,indirect,
hoi_nganh_hoc,Theo bạn thì bộ môn Logistics có khó đỗ không?,indirect,
hoi_thoi_gian_dk,Thời gian đăng ký học bạ là khi thế gì,direct,
hoi_nganh_hoc,Ngành {'LOWER': 'cơ'} {'LOWER': 'khí'} có mấy chuyên ngành học học,direct,
hoi_nganh_hoc,Các chuyên ngành của {'LOWER': 'ktcn'},direct,
chao_hoi,Xin chào hệ thống,direct,
hoi_nganh_hoc,Ngành {'LOWER': 'kte'} thuộc khối thế nào,direct,
hoi_phuong_thuc,Điểm chuẩn ngành Logistics năm nay là bao nhiêu?,direct,
chao_hoi,Tổ hợp môn gì xét vào ngành Kiến trúc?,direct,
hoi_diem_san,Cho tôi biết điểm chuẩn thấp nhất của {'LOWER': 'xd'} ạ,direct,
hoi_diem_san,Có cách thế nào vào ngành Công nghệ thông tin dễ hơn không?,indirect,
hoi_chung_chi_nn,Nếu học Khoa học Máy tính thì cần chuẩn bị gì?,indirect,
fallback,Thế còn bộ môn Logistics thì sao?,followup,
hoi_nganh_hoc,Danh sách ngành học học đào tạo,direct,
hoi_thoi_gian_dk,Theo bạn thì ngành học Công nghệ thông tin có khó đỗ không?,indirect,
hoi_nganh_hoc,Trường đại học đại học có những chuyên ngành ra sao,direct,
hoi_chung_chi_nn,Có cách nào vào bộ môn Quản lý xây dựng dễ hơn không?,indirect,
hoi_chi_tieu,Tổ hợp môn ra sao xét vào ngành Khoa học Máy tính?,direct,
hoi_to_hop_mon,Theo bạn thì chuyên ngành Quản lý xây dựng có khó đỗ không?,indirect,
chao_hoi,Chào bạn nhỉ,direct,
hoi_to_hop_mon,Ngành {'LOWER': 'ktxd'} {'LOWER': 'kinh'} {'LOWER': 'tế'} học khối ra sao,direct,
hoi_dieu_kien,Tổ hợp môn nào xét vào ngành học Quản lý xây dựng?,direct,
chao_hoi,Có cách nào vào ngành học Logistics dễ hơn không?,indirect,
hoi_thoi_gian_dk,Theo bạn thì chuyên ngành Công nghệ thông tin có khó đỗ không?,indirect,
hoi_phuong_thuc,Tổ hợp môn nào xét vào chuyên ngành Quản lý xây dựng?,direct,
hoi_chi_tieu,Tổ hợp môn nào xét vào bộ môn Công nghệ thông tin?,direct,
chao_hoi,Có cách nào vào ngành Logistics dễ hơn không?,indirect,
hoi_to_hop_mon,Theo bạn thì ngành học Công nghệ thông tin có khó đỗ không?,indirect,
hoi_thoi_gian_dk,Thế còn ngành Kiến trúc thì sao?,followup,
hoi_chung_chi_nn,Chứng chỉ ngoại ngữ ra sao được chấp nhận vậy,direct,
hoi_phuong_thuc,Nhà trường có những phương thức tuyển sinh thế gì,direct,
hoi_thoi_gian_dk,Thế còn chuyên ngành Kiến trúc thì sao?,followup,
chao_hoi,Xin chào trường,direct,
hoi_to_hop_mon,Thế còn ngành học Logistics thì sao?,followup,
hoi_dieu_kien,Thế còn bộ môn Kiến trúc thì sao?,followup,
hoi_chi_tieu,Ngành Quản lý xây dựng thì có xét học bạ không?,followup,
hoi_phuong_thuc,Có cách gì vào ngành Logistics dễ hơn không?,indirect,
hoi_thoi_gian_dk,Khi gì bắt đầu đăng ký xét tuyển v-sat,direct,
hoi_thoi_gian_dk,Điểm chuẩn ngành học Quản lý xây dựng năm nay là bao nhiêu?,direct,
chao_hoi,Có cách thế nào vào ngành Kiến trúc dễ hơn không?,indirect,
hoi_chi_tieu,Có cách ra sao vào ngành Khoa học Máy tính dễ hơn không?,indirect,
fallback,Ngành Logistics xét tuyển theo phương thức nào?,direct,
hoi_diem_san,Nếu học Khoa học Máy tính thì cần chuẩn bị gì?,indirect,
hoi_thoi_gian_dk,Thời gian đăng ký trực tuyến là khi gì,direct,
hoi_diem_san,Thế còn chuyên ngành Công nghệ thông tin thì sao?,followup,
chao_hoi,Có cách nào vào ngành học Quản lý xây dựng dễ hơn không?,indirect,
hoi_thoi_gian_dk,Khi thế gì đóng đăng ký tsa,direct,
hoi_nganh_hoc,Ngành Công nghệ thông tin lấy điểm sàn bao nhiêu?,direct,
hoi_thoi_gian_dk,Còn Công nghệ thông tin thì điểm sàn thế nào?,followup,
hoi_chi_tieu,Có cách nào vào bộ môn Kiến trúc dễ hơn không?,indirect,
hoi_to_hop_mon,Khối nào dành cho {'LOWER': 'xây'} {'LOWER': 'dựng'} {'LOWER': 'công'} {'LOWER': 'nghiệp'},direct,
hoi_nganh_hoc,Trường đại học có những ngành học ra sao,direct,
hoi_chung_chi_nn,Trường có nhận TCF không,direct,
hoi_chi_tieu,Tổ hợp môn nào xét vào ngành Công nghệ thông tin?,direct,
hoi_phuong_thuc,Tổ hợp môn thế nào xét vào ngành Khoa học Máy tính?,direct,
hoi_chung_chi_nn,Ngành Kiến trúc lấy điểm sàn bao nhiêu?,direct,
hoi_thoi_gian_dk,Khi nào đóng đăng ký tsa,direct,
fallback,Ngành Quản lý xây dựng có yêu cầu gì đặc biệt không?,followup,
fallback,Ngành Kiến trúc có yêu cầu gì đặc biệt không? nhỉ,followup,
hoi_diem_san,Có cách nào vào bộ môn Logistics dễ hơn không?,indirect,
hoi_nganh_hoc,Thế còn ngành học Logistics thì sao?,followup,
hoi_chung_chi_nn,Chứng chỉ TOEFL iBT 65 có được cộng điểm không vậy,direct,
hoi_phuong_thuc,Phương thức ưu tiên áp dụng cho chuyên ngành gì,direct,
fallback,Thông tin này chưa được cập nhật,direct,
hoi_to_hop_mon,Nhà trường mình có xét tuyển khối D09 không,direct,
chao_hoi,Tổ hợp môn thế nào xét vào ngành Kiến trúc?,direct,
hoi_dieu_kien,Tổ hợp môn nào xét vào chuyên ngành Quản lý xây dựng?,direct,
hoi_thoi_gian_dk,Thời gian đăng ký trực tuyến là khi thế gì,direct,
hoi_diem_san,Điểm sàn {'LOWER': 'kt'} năm 2025 nhỉ,direct,
hoi_thoi_gian_dk,Đăng ký nguyện vọng từ ngày thế nào,direct,
hoi_diem_san,Có cách gì vào ngành Logistics dễ hơn không?,indirect,
hoi_diem_san,Điểm spt tối thiểu vào {'LOWER': 'xây'} {'LOWER': 'dựng'},direct,
hoi_diem_san,Có cách nào vào ngành Công nghệ thông tin dễ hơn không?,indirect,
chao_hoi,Có cách nào vào chuyên ngành Khoa học Máy tính dễ hơn không?,indirect,
hoi_to_hop_mon,Thế còn chuyên ngành Logistics thì sao?,followup,
hoi_diem_san,Điểm chuẩn {'LOWER': 'khdl'} với khối A03 ạ,direct,
hoi_thoi_gian_dk,Theo bạn thì ngành học Logistics có khó đỗ không?,indirect,
hoi_to_hop_mon,Có cách nào vào ngành học Kiến trúc dễ hơn không?,indirect,
hoi_phuong_thuc,Tổ hợp môn nào xét vào bộ môn Quản lý xây dựng?,direct,
hoi_chi_tieu,Ngành {'LOWER': 'xây'} {'LOWER': 'dựng'} {'LOWER': 'dân'} {'LOWER': 'dụng'} năm nay có bao nhiêu chỉ tiêu nhỉ,direct,
hoi_thoi_gian_dk,Thời gian đăng ký trực tuyến là khi nào,direct,
hoi_nganh_hoc,Trường đại học có những chuyên ngành học thế nào,direct,
fallback,Ngành Kiến trúc xét tuyển theo phương thức nào?,direct,
hoi_chi_tieu,Chỉ tiêu v sat là bao nhiêu ạ,direct,
hoi_phuong_thuc,Điểm chuẩn bộ môn Logistics năm nay là bao nhiêu?,direct,
hoi_chung_chi_nn,Chứng chỉ ngoại ngữ thế thế nào được chấp nhận,direct,
hoi_chi_tieu,Tổ hợp môn gì xét vào ngành Quản lý xây dựng?,direct,
chao_hoi,Hello,direct,
hoi_thoi_gian_dk,Khi thế gì bắt đầu đăng ký xét tuyển v-sat,direct,
fallback,Bạn nhập lại câu hỏi nhé,direct,
chao_hoi,Có cách nào vào ngành học Khoa học Máy tính dễ hơn không?,indirect,
chao_hoi,Tổ hợp môn ra sao xét vào ngành Kiến trúc?,direct,
hoi_chi_tieu,Tổ hợp môn gì xét vào ngành Khoa học Máy tính?,direct,
hoi_phuong_thuc,Trường mình có xét tuyển bằng thi tn không,direct,
hoi_chung_chi_nn,Quy đổi TOEIC sang điểm như thế ra sao vậy,direct,
hoi_diem_san,Theo bạn thì ngành học Quản lý xây dựng có khó đỗ không?,indirect,
fallback,Câu hỏi này tôi chưa có thông tin ạ,direct,
hoi_chung_chi_nn,Theo bạn thì chuyên ngành Logistics có khó đỗ không?,indirect,
hoi_chi_tieu,Theo bạn thì bộ môn Quản lý xây dựng có khó đỗ không?,indirect,
hoi_chi_tieu,Ngành Kiến trúc có yêu cầu gì đặc biệt không?,followup,
chao_hoi,Tổ hợp môn nào xét vào chuyên ngành Quản lý xây dựng?,direct,
hoi_to_hop_mon,Có cách nào vào bộ môn Kiến trúc dễ hơn không?,indirect,
hoi_chi_tieu,Có cách nào vào ngành học Khoa học Máy tính dễ hơn không?,indirect,
hoi_chi_tieu,Tổ hợp môn nào xét vào ngành Khoa học Máy tính?,direct,
hoi_nganh_hoc,Ngành {'LOWER': 'cơ'} {'LOWER': 'khí'} có mấy chuyên ngành,direct,
hoi_chung_chi_nn,Ngành Logistics lấy điểm sàn bao nhiêu? ạ,direct,
fallback,Ngành Logistics xét tuyển theo phương thức nào? nhé,direct,
hoi_dieu_kien,Có cách gì vào ngành Kiến trúc dễ hơn không?,indirect,
hoi_phuong_thuc,Phương thức ưu tiên áp dụng cho bộ môn thế nào,direct,
hoi_dieu_kien,Có cách gì vào ngành Công nghệ thông tin dễ hơn không?,indirect,
hoi_dieu_kien,Có cách nào vào ngành Kiến trúc dễ hơn không? nhỉ,indirect,
chao_hoi,Ngành Khoa học Máy tính thì có xét học bạ không?,followup,
hoi_diem_san,Tổ hợp môn nào xét vào ngành Quản lý xây dựng? nhỉ,direct,
hoi_chung_chi_nn,Ngành Kiến trúc có yêu cầu gì đặc biệt không?,followup,
chao_hoi,Có cách gì vào ngành Logistics dễ hơn không?,indirect,
hoi_thoi_gian_dk,Thời gian đăng ký {'LOWER': 'quy'} {'LOWER': 'hoạch'} qua ielts,direct,
hoi_to_hop_mon,Tổ hợp môn nào xét vào chuyên ngành Công nghệ thông tin?,direct,
fallback,Câu hỏi này tôi chưa có thông tin vậy,direct,
hoi_chung_chi_nn,Theo bạn thì ngành học Logistics có khó đỗ không?,indirect,
hoi_chung_chi_nn,Ngành Kiến trúc có yêu cầu gì đặc biệt không? nhỉ,followup,
fallback,Điểm chuẩn ngành Quản lý xây dựng năm nay là bao nhiêu?,direct,
hoi_dieu_kien,Còn Quản lý xây dựng thì điểm sàn thế nào?,followup,
hoi_nganh_hoc,Danh sách chuyên ngành và mã tuyển sinh,direct,
hoi_to_hop_mon,Khối H01 Toán Vẽ Mỹ thuật có chuyên ngành học ra sao,direct,
hoi_dieu_kien,Tổ hợp môn nào xét vào bộ môn Khoa học Máy tính?,direct,
chao_hoi,Còn Công nghệ thông tin thì điểm sàn thế nào?,followup,
hoi_nganh_hoc,Trường đại học có những chuyên ngành học nào,direct,
fallback,Có cách nào vào bộ môn Logistics dễ hơn không?,indirect,
hoi_diem_san,Có cách ra sao vào ngành Công nghệ thông tin dễ hơn không?,indirect,
chao_hoi,Tổ hợp môn ra sao xét vào ngành Công nghệ thông tin?,direct,
hoi_phuong_thuc,Có bao nhiêu phương thức tuyển sinh,direct,
hoi_chung_chi_nn,Quy đổi TOEIC sang điểm như thế thế thế nào,direct,
hoi_dieu_kien,Tổ hợp môn nào xét vào ngành học Khoa học Máy tính?,direct,
hoi_chi_tieu,Tổ hợp môn nào xét vào chuyên ngành Khoa học Máy tính?,direct,
hoi_phuong_thuc,Tổ hợp môn gì xét vào ngành Quản lý xây dựng?,direct,
hoi_phuong_thuc,Thế còn chuyên ngành Logistics thì sao?,followup,
chao_hoi,Có cách ra sao vào ngành Kiến trúc dễ hơn không?,indirect,
hoi_chung_chi_nn,Ngành Khoa học Máy tính lấy điểm sàn bao nhiêu?,direct,
hoi_phuong_thuc,Có cách nào vào chuyên ngành Logistics dễ hơn không?,indirect,
hoi_thoi_gian_dk,Có cách nào vào ngành Quản lý xây dựng dễ hơn không?,indirect,
hoi_dieu_kien,Còn Khoa học Máy tính thì điểm sàn thế nào? nhé,followup,
hoi_diem_san,Tổ hợp môn ra sao xét vào ngành Quản lý xây dựng?,direct,
fallback,Theo bạn thì ngành học Quản lý xây dựng có khó đỗ không?,indirect,
fallback,"Xin lỗi, tôi không rõ",direct,
chao_hoi,Tổ hợp môn nào xét vào ngành Quản lý xây dựng?,direct,
hoi_to_hop_mon,Khối thế gì dành cho {'LOWER': 'xây'} {'LOWER': 'dựng'} {'LOWER': 'công'} {'LOWER': 'nghiệp'},direct,
hoi_dieu_kien,Tổ hợp môn nào xét vào ngành học Logistics?,direct,
hoi_to_hop_mon,Theo bạn thì ngành Quản lý xây dựng có khó đỗ không?,indirect,
hoi_thoi_gian_dk,Thời gian đăng ký học bạ là khi thế ra sao,direct,
hoi_chi_tieu,Còn Logistics thì điểm sàn thế nào?,followup,
hoi_phuong_thuc,Theo bạn thì chuyên ngành Quản lý xây dựng có khó đỗ không?,indirect,
hoi_nganh_hoc,Theo bạn thì ngành học Logistics có khó đỗ không?,indirect,
hoi_to_hop_mon,Ngành {'LOWER': 'ktxd'} {'LOWER': 'kinh'} {'LOWER': 'tế'} học khối gì,direct,
hoi_to_hop_mon,Khối H01 Toán Vẽ Mỹ thuật có bộ môn nào,direct,
hoi_diem_san,Có cách thế nào vào ngành Logistics dễ hơn không?,indirect,
fallback,Còn Khoa học Máy tính thì điểm sàn thế nào? nhỉ,followup,
hoi_dieu_kien,Điều kiện thi tốt nghiệp cho {'LOWER': 'kiến'} {'LOWER': 'trúc'} {'LOWER': 'nt'},direct,
hoi_to_hop_mon,Khối H01 Toán Vẽ Mỹ thuật có chuyên chuyên ngành gì,direct,
chao_hoi,Có cách gì vào ngành Kiến trúc dễ hơn không?,indirect,
hoi_phuong_thuc,Các cách xét tuyển vào trường,direct,
fallback,Điểm chuẩn ngành Quản lý xây dựng năm nay là bao nhiêu? vậy,direct,
hoi_diem_san,Điểm chuẩn tối thiểu của khối H01 Toán Vẽ Mỹ thuật,direct,
hoi_thoi_gian_dk,Theo bạn thì ngành học Kiến trúc có khó đỗ không?,indirect,
hoi_nganh_hoc,Giới thiệu ngành học {'LOWER': 'môi'} {'LOWER': 'trường'},direct,
fallback,Có cách ra sao vào ngành Logistics dễ hơn không?,indirect,
chao_hoi,Tổ hợp môn nào xét vào ngành Công nghệ thông tin?,direct,
hoi_dieu_kien,Tổ hợp môn nào xét vào bộ môn Logistics?,direct,
hoi_dieu_kien,Theo bạn thì bộ môn Logistics có khó đỗ không?,indirect,
hoi_chi_tieu,Thế còn ngành học Khoa học Máy tính thì sao?,followup,
hoi_nganh_hoc,Nhà trường đại học có những chuyên ngành nào,direct,
hoi_chi_tieu,Còn Công nghệ thông tin thì điểm sàn thế nào? ạ,followup,
hoi_phuong_thuc,Phương thức ưu tiên áp dụng cho chuyên ngành ra sao,direct,
hoi_dieu_kien,Điểm chuẩn bộ môn Công nghệ thông tin năm nay là bao nhiêu?,direct,
hoi_nganh_hoc,Ngành {'LOWER': 'logistics'} thuộc khoa thế thế nào,direct,
hoi_diem_san,Ngành Khoa học Máy tính thì có xét học bạ không?,followup,
hoi_nganh_hoc,Danh sách ngành đào tạo,direct,
hoi_nganh_hoc,Giới thiệu ngành {'LOWER': 'môi'} {'LOWER': 'trường'},direct,
hoi_chi_tieu,Chỉ tiêu tuyển sinh của {'LOWER': 'cntt'},direct,
hoi_nganh_hoc,Có cách gì vào ngành Quản lý xây dựng dễ hơn không?,indirect,
hoi_nganh_hoc,Ngành {'LOWER': 'cơ'} {'LOWER': 'khí'} có mấy chuyên chuyên chuyên ngành,direct,
hoi_chi_tieu,Có cách gì vào ngành Kiến trúc dễ hơn không?,indirect,
hoi_chung_chi_nn,Quy đổi TOEIC sang điểm như thế gì,direct,
hoi_thoi_gian_dk,Muốn vào Khoa học Máy tính thì cần đạt khoảng mấy điểm nhỉ?,indirect,
chao_hoi,Chào bạn,direct,
hoi_dieu_kien,Điều kiện dự tuyển,direct,
hoi_dieu_kien,Có cách nào vào ngành học Công nghệ thông tin dễ hơn không?,indirect,
fallback,Ngành Kiến trúc có yêu cầu gì đặc biệt không?,followup,
fallback,Tổ hợp môn nào xét vào ngành Công nghệ thông tin?,direct,
hoi_phuong_thuc,Tổ hợp môn nào xét vào ngành học Công nghệ thông tin?,direct,
fallback,Có cách nào vào ngành học Khoa học Máy tính dễ hơn không?,indirect,
hoi_to_hop_mon,Ngành {'LOWER': 'attt'} xét tuyển các tổ hợp môn gì,direct,
fallback,Có cách gì vào ngành Khoa học Máy tính dễ hơn không?,indirect,
hoi_to_hop_mon,Tổ hợp môn nào xét vào bộ môn Công nghệ thông tin?,direct,
hoi_nganh_hoc,Trường đại học đại học có những chuyên ngành nào,direct,
hoi_to_hop_mon,Ngành Quản lý xây dựng lấy điểm sàn bao nhiêu?,direct,
hoi_phuong_thuc,Nhà trường đại học có xét tuyển bằng thi tn không,direct,
hoi_nganh_hoc,Giới thiệu chuyên bộ môn {'LOWER': 'môi'} {'LOWER': 'trường'},direct,
chao_hoi,Có cách gì vào ngành Khoa học Máy tính dễ hơn không?,indirect,
hoi_diem_san,Ngành Logistics có yêu cầu gì đặc biệt không?,followup,
chao_hoi,Có cách nào vào ngành học Kiến trúc dễ hơn không?,indirect,
chao_hoi,Thế còn ngành Quản lý xây dựng thì sao?,followup,
hoi_chi_tieu,Theo bạn thì ngành học Quản lý xây dựng có khó đỗ không?,indirect,
hoi_thoi_gian_dk,Tổ hợp môn nào xét vào chuyên ngành Công nghệ thông tin?,direct,
hoi_phuong_thuc,Trường có những phương thức tuyển sinh gì,direct,
hoi_dieu_kien,Tổ hợp môn gì xét vào ngành Logistics?,direct,
hoi_chi_tieu,Tổ hợp môn nào xét vào ngành học Công nghệ thông tin?,direct,
hoi_nganh_hoc,Trường đại học có những chuyên bộ môn ra sao,direct,
hoi_thoi_gian_dk,Ngày bắt đầu nộp hồ sơ tuyển thẳng,direct,
hoi_chi_tieu,Có cách nào vào ngành Khoa học Máy tính dễ hơn không?,indirect,
hoi_phuong_thuc,Theo bạn thì ngành học Công nghệ thông tin có khó đỗ không?,indirect,
hoi_phuong_thuc,Trường đại học mình có xét tuyển bằng thi tn không,direct,
hoi_chung_chi_nn,Quy đổi TOEIC sang điểm như thế thế gì,direct,
hoi_diem_san,Điểm chuẩn chuyên ngành Logistics năm nay là bao nhiêu?,direct,
hoi_dieu_kien,Điều kiện xét học bạ ạ,direct,
chao_hoi,Có cách nào vào bộ môn Khoa học Máy tính dễ hơn không?,indirect,
hoi_to_hop_mon,Điểm chuẩn chuyên ngành Kiến trúc năm nay là bao nhiêu?,direct,
hoi_chung_chi_nn,Còn Khoa học Máy tính thì điểm sàn thế nào?,followup,
hoi_to_hop_mon,Thế còn bộ môn Quản lý xây dựng thì sao?,followup,
hoi_diem_san,Điểm chuẩn v-sat vào {'LOWER': 'cơ'} {'LOWER': 'khí'} ạ,direct,
hoi_diem_san,Còn Kiến trúc thì điểm sàn thế nào? nhé,followup,
hoi_phuong_thuc,Phương thức ưu tiên áp dụng cho chuyên ngành thế ra sao,direct,
hoi_dieu_kien,Tổ hợp môn nào xét vào ngành Logistics?,direct,
hoi_diem_san,Có cách gì vào ngành Công nghệ thông tin dễ hơn không?,indirect,
hoi_diem_san,Tổ hợp môn thế nào xét vào ngành Quản lý xây dựng?,direct,
hoi_to_hop_mon,Thế còn ngành học Quản lý xây dựng thì sao?,followup,
chao_hoi,Tổ hợp môn nào xét vào chuyên ngành Công nghệ thông tin?,direct,
